542076; Bøeany nad Ohøí
332320; Bøidlièná
352328; Bøidlièná lesy
332429; Bøidlièná zastávka
540872; Bøíza
545699; Bøvany
335059; Buèovice
544114; Buda
561860; Budèice
330845; Budišov nad Budišovkou
367250; Budišov u Tøebíèe
351155; Budkovice
757351; Budov
541979; Budynì nad Ohøí
752527; Bujanov
560318; Bukovno
555102; Butoves
563361; Bykáò
556035; Bylany
335356; Bylnice
352922; Bystrovany
551192; Bystøany v Èechách
331041;Bystøice (Bystrzyca)
335554; Bystøice nad Pernštejnem
335851; Bystøice pod Hostınem
551168; Bystøice u Benešova
338525; Bystøièka
545517; Byšice
336156; Bzenec
361758; Bzenec pøívoz
334755; Bzenec-Olšovec
754655; Cebiv
556209; Cerekvice nad Bystøicí
552539; Cerekvice nad Louènou
552638; Cerekvice nad Louènou zastávka
531665; Cerhenice
731448; Cerhovice
362954; Cetkovice
558403; Cidlina
745554; Cihelny
540344; Církvice
759050; Citice
536870; Cítoliby
369652; Citonice
543363; Cítov
542373; Ctinìves
550335; Èachnov
562314; Èachovice
540443; Èáslav
532002; Èastolovice
532200; Èastolovice zastávka
364158; Èebín
336354; Èejè
734327; Èejetice
752667; Èejkovice
333641; Èeladná
547760; Èelákovice
547760; Èelákovice-Jiøina
547562; Èelákovice zastávka
330555; Èelèice
332924; Èelechovice na Hané
754127; Èenkov u Malšic
569004; Èeperka
550467; Èerèany
540708; Èermná nad Orlicí
350140; Èermná ve Slezsku
759225; Èerná v Pošumaví
539205; Èernèice
562967; Èerníny
532663; Èernošice
532465; Èernošice-Mokropsy
337428; Èernotín
547521; Èernousy
534990; Èernovice u Chomutova
746024; Èernovice u Tábora
534404; Èernovír
568105; Èernoice
537969; Èernuc
760827; Èernı Dub
739326; Èernı Køí
747824; Èertova Stìna
756023; Èervená nad Vltavou
535203; Èervená Voda
563163; Èervené Janovice
565168; Èervené Peèky
753855; Èervené Poøíèí
333120; Èervenka
574509; Èervenı Kostelec
534800; Èervenı Potok
552463; Èervenı Újezd u Votic
346650; Èeská
562991; Èeská Kamenice
748053; Èeská Kubice
708057; Èeská Kubice státní hranice
568097; Èeská Lípa hlavní nádraí
568196; Èeská Lípa mìsto
568295; Èeská Lípa støelnice
561993; Èeská Lípa-Holı vrch
537803; Èeská Metuje
575001; Èeská Skalice
539130; Èeská Tøebová
345728; Èeská Ves
345926; Èeská Ves bazén
732826; Èeské Budìjovice
753624; Èeské Budìjovice jiní zastávka
734525; Èeské Budìjovice severní zastávka
539098; Èeské Hamry
736322; Èeské Velenice
706325; Èeské Velenice státní hranice
530667; Èeskı Brod
760025; Èeskı Krumlov
560466; Èeskı Šternberk
560565; Èeskı Šternberk zastávka
332346; Èeskı Tìšín
300145; Èeskı Tìšín státní hranice
532101; Èestice
332858; Èíchov
733527; Èíèenice
730424; Èimelice
563916; Èinìves
555961; Èisovice
762245; Èistá
554295; Èíkovice
561167; Èíov
730820; Èíová
750927; Èkynì
554162; Ètyøkoly
357855; Èunín
748822; Daèice
748723; Daèice mìsto
734459; Dalovice
759258; Dasnice
556969; Davle
757021; Dìbolín
556597; Dìèín hlavní nádraí
507194; Dìèín státní hranice
556894; Dìèín vıchod
557090; Dìèín zastávka
543199; Dìèín-Bynov
556191; Dìèín-Èertova Voda
526699; Dìèín-Loubí
543298; Dìèín-Oldøichov
556092; Dìèín-Prostøední leb
556290; Dìèín-Pøípeø
560193; Dìèín-Staré Mìsto
350157; Dìdice
537902; Dìdov
754051; Dehtín
332643; Dìhylov
537597; Denìtice
549725; Desná
769653; Dešenice
533679; Deštnice
557108; Dìtenice
332742; Dìtmarovice
333229; Dìtøichov nad Bystøicí
349043; Dívèí Hrad
733329; Dívèice
331553; Divnice
554097; Dlakovice
334474; Dlouhá
559617; Dlouhá Lhota
539239; Dlouhá Tøebová
556704; Dlouhé Dvory
745927; Dobešov
557397; Dobkovice
552299; Dobkovièky
739227; Dobrá na Šumavì
332841; Dobrá u Frıdku-Místku
730143; Dobrá Voda u Bøeznice
555904; Dobrá Voda u Hoøic
742221; Dobrá Voda u Pelhøimova
332940; Dobratice pod Prašivou
354357; Dobré Pole
545897; Dobromìøice
743328; Dobronice u Chınova
336552; Dobronín
338657; Dobrotice
561910; Dobrovice
540567; Dobrovíz
540104; Dobruška
540203; Dobruška-Pulice
753251; Dobøany
769356; Dobøany zastávka
530808; Dobøenice
532267; Dobøichovice
532978; Dobøíèany
553164; Dobøíèkov
738153; Dobøíkov na Šumavì
537134; Dobøíkov u Chocnì
542670; Dobøíò
556464; Dobøíš
530113; Dobšice nad Cidlinou
556506; Dohalice
568592; Doksy
565622; Dolánky
544460; Dolany
549295; Dolejší Hùrky
348854; Dolenice
542738; Dolík
333047; Dolní Benešov
543066; Dolní Beøkovice
748426; Dolní Bolíkov
559112; Dolní Bousov
541730; Dolní Bøezinka
758300; Dolní Cerekev
533604; Dolní Dobrouè
562892; Dolní Habartice
747451; Dolní Kamenice
564799; Dolní Køeèany
331058; Dolní Lhota
533901; Dolní Libchavy
534602; Dolní Lipka
364257; Dolní Louèky
767350; Dolní Luby
341347; Dolní Lutynì
535104; Dolní Orlice
730622; Dolní Ostrovec
566992; Dolní Podluí
549626; Dolní Polubnı
761429; Dolní Poøíèí
565291; Dolní Poustevna
744821; Dolní Radouò
332759; Dolní Smrèné
740951; Dolní Stupno
558296; Dolní Zálezly
749853; Dolní andov
340745; Dolní ivotice
556399; Dolní leb
556498; Dolní leb zastávka
330654; Doloplazy
756353; Doly
732628; Domanice
553461; Domašín
334227; Domašov nad Bystøicí
735159; Domalice
735258; Domalice mìsto
538298; Domina
760124; Domoradice
559211; Domousnice
550194; Domoušice
756726; Doòov
745752; Doubí u Karlovıch Varù
735928; Doubí u Tábora
543124; Doubí u Turnova
359950; Doubravice nad Svitavou
352252; Doubravník
532606; Doudleby nad Orlicí
334524; Drahanovice
564666; Drahobudice
334722; Drahotuše
0;Droukovice
545566; Døetovice
530246; Døísy
554592; Dubany
756056; Dubec
542092; Dubí
570697; Dubièná
336958; Dubòany
737759; Dubová Lhota
533398; Duchcov
758508; Dvorce
736520; Dvory nad Lunicí
538330; Dvoøisko
567404; Dvùr Králové nad Labem
338350; Dyje
563817; Dymokury
735225; Dynín
732354; Dıšina
337154; Dzbel
552935; Dbánov
732255; Ejpovice
547620; Filipovka
737429; Frahel
562397; Františkov nad Plouènicí
740050; Františkovy Láznì
0;Františkovy Láznì-Aquaforum
740159; írovice-Seníky
333344; Frenštát pod Radhoštìm
333443; Frıdek-Místek
333542; Frıdlant nad Ostravicí
333849; Frıdlant nad Ostravicí zastávka
333740; Frıdlant nad Ostravicí-Nová Dìdina
546523; Frıdlant v Èechách
546622; Frıdlant v Èechách pøedmìstí
506725; Frıdlant v Èechách státní hranice
334045; Fulnek
540831; Golèùv Jeníkov
540930; Golèùv Jeníkov mìsto
338053; Grešlové Mıto
334821; Grygov
541292; Háj u Duchcova
334243; Háj ve Slezsku
758656; Hájek
546028; Hajništì
334920; Halenkov
334128; Halenkov zastávka
370353; Hamry nad Sázavou
769851; Hamry-Hojsova Strá
335422; Hanušovice
347724; Hanušovice Holba
335828; Hanušovice zastávka
549220; Harrachov
564468; Hatì
334540; Havíøov
334748; Havíøov-Suchá
542134; Havlíèkùv Brod
542035; Havlíèkùv Brod-Perknov
735357; Havlovice
568311; Havranec
365957; Havøice
735951; Hazlov
548321; Hejnice
558437; Herálec
747527; Herbertov
535609; Heroltice
731224; Heømaò
734020; Heømaò obec
552166; Heømanièky
341743; Heømánky
746453; Heømanova Hu
557132; Heømanùv Mìstec
339358; Hevlín
334946; Hladké ivotice
348144; Hladké ivotice místní nádraí
759159; Hlavno
561613; Hleïsebe
548834; Hlinsko-Kouty
335950; Hlinsko pod Hostınem
548537; Hlinsko v Èechách
540245; Hlízov
335927; Hluboèky
336123; Hluboèky zastávka
336024; Hluboèky-Mariánské Údolí
733022; Hluboká nad Vltavou
734822; Hluboká nad Vltavou-Zámostí
741520; Hluboká u Borovan
534040; Hlubokı Dùl
335042; Hluèín
331025; Hlušovice
533703; Hnátnice
556407; Hnìvèeves
542878; Hnìvice
553297; Hnojnice
335141; Hnojník
749606; Hodice
562868; Hodkov
562264; Hodkov zastávka
542720; Hodkovice nad Mohelkou
573600; Hodkovice u Trutnova
759423; Hodòov
338251; Hodonice
338459; Hodonín
301358; Hodonín státní hranice
343426; Hodslavice
769950; Hojsova Strá-Brèálník
346742; Holasovice
740928; Holeèkov
533273; Holedeèek
338558; Holešov
537399; Holetice
548735; Holetín
555136; Holice
555235; Holice zastávka
753129; Holkov
765552; Holostøevy
731851; Holoubkov
338855; Holubice
760520; Holubov
747352; Holıšov
736058; Horaïovice
738658; Horaïovice pøedmìstí
336420; Horka nad Moravou
561563; Horka nad Sázavou
547133; Horka u Chrudimi
566901; Horka u Staré Paky
540542; Horky u Èáslavi
753723; Horky u Tábora
573709; Horní Adršpach
542274; Horní Beøkovice
742858; Horní Blatná
569509; Horní Branná
750851; Horní Bøíza
750752; Horní Bøíza zastávka
758029; Horní Cerekev
752220; Horní Dvoøištì
702225; Horní Dvoøištì státní hranice
541797; Horní Háj
338822; Horní Heømanice
751255; Horní Hradištì
563098; Horní Kamenice
562256; Horní Ledeè
336529; Horní Lideè
300921; Horní Lideè státní hranice
337022; Horní Lipová
346726; Horní Moštìnice
731026; Horní Nerestce
565002; Horní Nová Ves
759126; Horní Planá
758623; Horní Planá zastávka
543165; Horní Poèaply
567297; Horní Podluí
565390; Horní Poustevna
343244; Horní Povelice
545822; Horní Øasnice
570499; Horní Øepèice
744722; Horní Skrıchov
743351; Horní Slavkov
743450; Horní Slavkov zastávka
334847; Horní Suchá
571703; Horní Sytová
335349; Horní Tošanovice
757922; Horní Ves
757724; Horní Vilímeè
751727; Horní Vltavice
766253; Horšovskı Tın
735324; Horusice
545640; Hoøátev
550582; Hoøesedly
537498; Hoøetice
759720; Hoøice na Šumavì
555805; Hoøice v Podkrkonoší
568501; Hoøinìves
731349; Hoøovice
734723; Hosín
336222; Hostašovice
345553; Hostìrádky-Rešov
360859; Hostìtín
569707; Hostinné
569715; Hostinné mìsto
536565; Hostivice
536664; Hostivice-Litovice
548099; Hostomice nad Bílinou
768242; Hostomice pod Brdy
755454; Hostouò
540765; Hostouò u Prahy
744755; Hoštìc
539833; Hoštejn
750422; Hoštice u Volynì
341552; Hoštice-Heroltice
530790; Hoštka
354522; Hovìzí
547364; Hovorèovice
571901; Hrabaèov
339457; Hrabìtice
339929; Hrabišín
351825; Hrachovec
760736; Hradce
364356; Hradèany
338954; Hradèovice
531202; Hradec Králové hlavní nádraí
531509; Hradec Králové zastávka
531301; Hradec Králové-Kukleny
531400; Hradec Králové-Slezské Pøedmìstí
335745; Hradec nad Moravicí
334573; Hradec nad Svitavou
535591; Hradec u Kadanì
747253; Hradec u Stoda
345827; Hradec-Nová Ves
575225; Hrádek nad Nisou
505321; Hrádek nad Nisou státní hranice
